code,name
25301030,Leisure Facilities
25301040,Restaurants
25302010,Education Services
25302020,Specialized Consumer Services
25501010,Distributors
25502020,Internet & Direct Marketing Retail
25503010,Department Stores
25503020,General Merchandise Stores
25504010,Apparel Retail
25504020,Computer & Electronics Retail
25504030,Home Improvement Retail
25504040,Specialty Stores
25504050,Automotive Retail
25504060,Homefurnishing Retail
30101010,Drug Retail
30101020,Food Distributors
30101030,Food Retail
30101040,Hypermarkets & Super Centers
30201010,Brewers
30201020,Distillers & Vintners
30201030,Soft Drinks
30202010,Agricultural Products
30202030,Packaged Foods & Meats
30203010,Tobacco
30301010,Household Products
30302010,Personal Products
35101010,Health Care Equipment
35101020,Health Care Supplies
35102010,Health Care Distributors
35102015,Health Care  Services
35102020,Health Care Facilities
35102030,Managed Health Care
35103010,Health Care Technology
35201010,Biotechnology
35202010,Pharmaceuticals
35203010,Life Sciences Tools & Services
40101010,Diversified Banks
40101015,Regional Banks
40102010,Thrifts & Mortgage Finance
40201020,Other Diversified Financial Services
40201030,Multi-Sector Holdings
40201040,Specialized Finance
40202010,Consumer Finance
40203010,Asset Management & Custody Banks
40203020,Investment Banking & Brokerage
40203030,Diversified Capital Markets
40203040,Financial Exchanges & Data
40204010,Mortgage REITs
40301010,Insurance Brokers
40301020,Life & Health Insurance
40301030,Multi-line Insurance
40301040,Property & Casualty Insurance
40301050,Reinsurance
45102010,IT Consulting & Other Services
45102020,Data Processing & Outsourced Services
45102030,Internet Services & Infrastructure
45103010,Application Software
45103020,Systems Software
45201020,Communications Equipment
45202030,"Technology Hardware, Storage & Peripherals"
45203010,Electronic Equipment & Instruments 
45203015,Electronic Components
45203020,Electronic Manufacturing Services
45203030,Technology Distributors
45301010,Semiconductor Equipment 
45301020,Semiconductors
50101010,Alternative Carriers
50101020,Integrated Telecommunication Services
50102010,Wireless Telecommunication Services
50201010,Advertising
50201020,Broadcasting
50201030,Cable & Satellite
50201040,Publishing
50202010,Movies & Entertainment
50202020,Interactive Home Entertainment
50203010,Interactive Media & Services
55101010,Electric Utilities
55102010,Gas Utilities
55103010,Multi-Utilities
55104010,Water Utilities
55105010,Independent Power Producers & Energy Traders
55105020,Renewable Electricity 
60101010,Diversified REITs
60101020,Industrial REITs
60101030,Hotel & Resort REITs 
60101040,Office REITs 
60101050,Health Care REITs 
60101060,Residential REITs
60101070,Retail REITs
60101080,Specialized REITs 
60102010,Diversified Real Estate Activities 
60102020,Real Estate Operating Companies
60102030,Real Estate Development 
60102040,Real Estate Services 
