industry,name,ticker,ISIN,stockkey
45102010,Obic Co Ltd,4684 JT,JP3173400007,26961
45203015,Taiyo Yuden Co,6976 JT,JP3452000007,1276
50201010,Vector Inc/Minato-ku,6058 JT,JP3835500004,291480
20103010,Kumagai Gumi Co,1861 JT,JP3266800006,1427
25302010,Riso Kyoiku Co Ltd,4714 JT,JP3974300000,31066
30202030,Ezaki Glico Co,2206 JT,JP3161200005,1309
20304020,Seino Holdings Co Ltd,9076 JT,JP3415400005,1850
25101010,Suminoe Textile Co Ltd,3501 JT,JP3410200004,1466
35202010,Kyowa Hakko Kirin Co Ltd,4151 JT,JP3256000005,1825
30202030,Kameda Seika Co,2220 JT,JP3219800004,5336
50203010,ZIGExN Co Ltd,3679 JT,JP3386490001,345532
45102010,Net One Systems,7518 JT,JP3758200004,18606
20202020,Nihon M&A Center Inc,2127 JT,JP3689050007,44131
20304020,K.R.S. Corp,9369 JT,JP3244700005,21083
15101050,Daiichi Kigenso Kagaku-Kogyo,4082 JT,JP3474350000,41360
20102010,Bunka Shutter Co,5930 JT,JP3831600006,1150
20304010,Nagoya Railroad Co,9048 JT,JP3649800004,1690
25504040,Komehyo Co.Ltd,2780 JT,JP3305590006,40347
45301010,SK-Electronics Co,6677 JT,JP3162640001,40369
20103010,Nichireki Co,5011 JT,JP3665600007,1607
45102010,Fujitsu,6702 JT,JP3818000006,1007
35102015,BML Inc,4694 JT,JP3799700004,29498
30202030,Nisshin Seifun Group Inc,2002 JT,JP3676800000,1838
15101050,NITTO DENKO CORP,6988 JT,JP3684000007,1840
20202010,Quick Co Ltd,4318 JT,JP3266000003,36098
15101050,Nippon Shokubai Co Ltd,4114 JT,JP3715200006,1926
25504030,Komeri Co,8218 JT,JP3305600003,8169
25102020,Yamaha Motor Co,7272 JT,JP3942800008,1293
25101010,Toyota Industries Corp,6201 JT,JP3634600005,2143
50202020,Capcom,9697 JT,JP3218900003,9839
30202030,Prima Meat Packers,2281 JT,JP3833200003,1710
50201020,Fuji Media Holdings Inc,4676 JT,JP3819400007,23508
55101010,Kyushu Electric Power Co Inc,9508 JT,JP3246400000,2018
25302020,Japan Best Rescue System,2453 JT,JP3389670005,42514
15101010,Kuraray Co,3405 JT,JP3269600007,975
55102010,Osaka Gas Co,9532 JT,JP3180400008,1185
15105020,Nippon Paper Industries Co Ltd,3863 JT,JP3721600009,1321
25302010,Meiko Network Ja,4668 JT,JP3916100005,24311
25504020,Yamada Denki Co,9831 JT,JP3939000000,24394
45301010,Inter Action Corp,7725 JT,JP3152720003,33959
20107010,Iwatani Corp,8088 JT,JP3151600008,1819
25502020,Media Do Holdings Co,3678 JT,JP3921230003,358972
45203010,Osaki Electric Co,6644 JT,JP3187600006,1264
20106020,Kawasaki Heavy Industries,7012 JT,JP3224200000,2150
15101010,Tosoh Corp,4042 JT,JP3595200001,1290
25202010,Tomy Company Ltd,7867 JT,JP3630550006,30286
40203020,Daiwa Securities Group Inc,8601 JT,JP3502200003,1746
60102020,Ichigo Inc,2337 JT,JP3120010008,37810
20303010,Mitsui OSK Lines Ltd,9104 JT,JP3362700001,1935
20106020,Shibuya Corp,6340 JT,JP3356000004,1269
15101010,Zeon Corp,4205 JT,JP3725400000,1260
30202030,House Foods Group Inc,2810 JT,JP3765400001,2089
25101010,Sumitomo Electric Industries,5802 JT,JP3407400005,1856
15101010,Nippon Pillar Packing Co,6490 JT,JP3747800005,8123
45102010,NEC Networks & System Integration Corp,1973 JT,JP3733800001,1834
45301010,Tokyo Seimitsu Co,7729 JT,JP3580200008,1279
55101010,Tokyo Electric Power Co. Holding Inc.,9501 JT,JP3585800000,2066
20106020,Makino Milling Machine Co,6135 JT,JP3862800004,2118
45203010,Topcon Corp,7732 JT,JP3630400004,1133
30202030,Fuji Oil Holdings Inc,2607 JT,JP3816400000,884
45203010,Nohmi Bosai,6744 JT,JP3759800000,980
20106015,Kubota Corp,6326 JT,JP3266400005,1023
35201010,ReproCELL Inc,4978 JT,JP3974770004,327735
30101010,Kusuri No Aoki Holdings,3549 JT,JP3266190002,43178
20304020,Hamakyorex Co Ltd,9037 JT,JP3771150004,31023
15101050,Tokyo Ohka Kogyo Co,4186 JT,JP3571800006,1573
30202030,Imuraya Group Co Ltd,2209 JT,JP3149200002,7766
60102020,Hulic Co Ltd (New),3003 JT,JP3360800001,7996
15101040,Taiyo Nippon Sanso Corp,4091 JT,JP3711600001,1444
50102010,SoftBank Group Corp,9984 JT,JP3436100006,24163
25101010,Nifco Inc,7988 JT,JP3756200006,929
20106020,Nippon Thompson Co,6480 JT,JP3739400004,1348
45203015,Maruwa Co Ltd,5344 JT,JP3879250003,24304
20102010,Sinko Industries Ltd,6458 JT,JP3372800007,328011
15101050,Chugoku Marine Paints,4617 JT,JP3522600000,1879
15104050,Tokyo Rope Mfg Co,5981 JT,JP3579400007,1577
20104020,Daihen Corp,6622 JT,JP3497800007,873
35101010,Sysmex Corp,6869 JT,JP3351100007,17981
45301010,Ulvac Inc,6728 JT,JP3126190002,42251
25503010,H2O Retailing Corp,8242 JT,JP3774600005,2131
45203015,Japan Aviation Electronics Industry Ltd,6807 JT,JP3705600009,2148
20302010,Japan Airlines Co Ltd,9201 JT,JP3705200008,307814
35101010,Terumo Corp,4543 JT,JP3546800008,1278
20201070,CTS Co Ltd,4345 JT,JP3346970001,36977
30202030,Ariake Japan Co,2815 JT,JP3125800007,16116
45102010,SCSK Corp,9719 JT,JP3400400002,2058
45102020,Trans Cosmos Inc,9715 JT,JP3635700002,9464
45102010,NTT Data Corp,9613 JT,JP3165700000,13345
20202010,Recruit Holdings Co Ltd,6098 JT,JP3970300004,458097
20107010,Kanamoto Co,9678 JT,JP3215200001,13634
55101010,Chugoku Electric Power Co Inc,9504 JT,JP3522200009,2081
45103020,Digital Arts Inc,2326 JT,JP3549020000,37641
25504010,Shimamura Co,8227 JT,JP3358200008,2051
20106020,Toshiba Machine Co,6104 JT,JP3592600005,1480
25301030,Oriental Land Co,4661 JT,JP3198900007,17968
20106010,Mitsubishi Logisnext,7105 JT,JP3753800006,1181
45203015,Nippon Chemi-Con Corp,6997 JT,JP3701200002,2032
15104050,Daido Steel Co,5471 JT,JP3491000000,1303
50202020,Akatsuki Inc.,3932 JT,JP3107000006,697777
20304010,Central Japan Railway Co,9022 JT,JP3566800003,23597
25101010,Koito Manufacturing Co,7276 JT,JP3284600008,1930
30202030,NH Foods Ltd,2282 JT,JP3743000006,1943
45203015,Alps Alpine Co Ltd,6770 JT,JP3126400005,1488
55101010,Chubu Electric Power Co,9502 JT,JP3526600006,1919
35103010,EM Systems Co Ltd,4820 JT,JP3130200003,33517
20106020,Hosokawa Micron Corp,6277 JT,JP3846000002,2000
45203015,Koa Corp,6999 JT,JP3283400004,814
45203030,Marubun Corp,7537 JT,JP3877500003,18622
25504010,Fast Retailing Co,9983 JT,JP3802300008,13001
20106020,Noritake Co,5331 JT,JP3763000001,1179
30202030,Fujicco Co,2908 JT,JP3818700001,5330
50202020,GungHo Online Entertainment,3765 JT,JP3235900002,41543
35102010,Suzuken Co Ltd,9987 JT,JP3398000004,17977
50202020,Konami Holdings Cor,9766 JT,JP3300200007,1761
30202030,Toyo Suisan Kaisha,2875 JT,JP3613000003,1799
20305030,Nissin Corp,9066 JT,JP3674400001,1100
35101020,Eiken Chemical Co,4549 JT,JP3160700005,1984
20201050,EF-ON Inc,9514 JT,JP3802140008,41550
20106020,Asahi Diamond Industrial Co,6140 JT,JP3114400009,1964
20103010,Takamatsu Construction Group Co Ltd,1762 JT,JP3457900003,30985
45301010,Tokyo Electron,8035 JT,JP3571400005,1645
50202010,Imagica Group Inc,6879 JT,JP3802900005,463417
15101010,Kureha Corp,4023 JT,JP3271600003,1675
20106020,Nittoku Engineering Co Ltd,6145 JT,JP3684700002,24210
15103020,Rengo Co,3941 JT,JP3981400009,826
45203010,Keyence Corp,6861 JT,JP3236200006,2094
15101010,JSP Corp,7942 JT,JP3386000008,8264
25501010,Doshisha Co,7483 JT,JP3638000004,17993
25201010,Foster Electric Co,6794 JT,JP3802800007,7714
20304020,Maruzen Showa Unyu Co Ltd,9068 JT,JP3876000005,1010510
20202020,Funai Soken Holdings Inc,9757 JT,JP3825800000,8198
20104010,Futaba Corp,6986 JT,JP3824400000,1068
45203015,Yaskawa Electric Corp,6506 JT,JP3932000007,1871
30302010,Pola Orbis Holdings Inc,4927 JT,JP3855900001,267936
50203010,Mixi Inc,2121 JT,JP3882750007,43996
15101010,Kaneka Corp,4118 JT,JP3215800008,2149
15104050,Yamato Kogyo Co,5444 JT,JP3940400009,1207
50102010,NTT DOCOMO,9437 JT,JP3165650007,26270
50201020,TV Asahi Holdings Corp,9409 JT,JP3429000007,32830
45202030,Noritsu Koki Co,7744 JT,JP3759500006,18001
45202030,Maxell Holdings Ltd,6810 JT,JP3791800000,1004725
15101050,Tayca Corp,4027 JT,JP3539300008,1642
45203010,Hitachi High-Technologies,8036 JT,JP3678800008,1346
45301020,Yamaichi Electronics Co,6941 JT,JP3934200001,24395
20102010,Nitto Boseki Co,3110 JT,JP3684400009,1341
15101010,Toray Industries Inc,3402 JT,JP3621000003,1649
45203015,Enplas Corp,6961 JT,JP3169800004,5328
50203010,MTI Ltd,9438 JT,JP3167480007,31046
25102010,Honda Motor Co,7267 JT,JP3854600008,1315
45202030,Fujifilm Holdings Corp,4901 JT,JP3814000000,1665
25301040,DD Holdings Co Ltd,3073 JT,JP3499650004,44420
45203015,Nichicon Corp,6996 JT,JP3661800007,1437
45203015,Nippon Ceramic,6929 JT,JP3725200004,5348
20304020,Tonami Holdings Co Ltd,9070 JT,JP3629400007,1010512
25101010,Nihon Tokushu Toryo Co Ltd,4619 JT,JP3739000002,1612
50201010,FreakOut Holdings Inc,6094 JT,JP3826550000,704977
15101050,Takasago Intl Corp,4914 JT,JP3454400007,1468
15101010,Teijin,3401 JT,JP3544000007,989
25203030,Fujibo Holdings Inc,3104 JT,JP3820800005,1398
60101040,Nippon Building Fund Inc JREIT,8951 JT,JP3027670003,36026
45203015,Nippon Electric Glass,5214 JT,JP3733400000,1778
25201010,Funai Electric Co Ltd,6839 JT,JP3825850005,28002
60101020,Nippon Prologis REIT Inc,3283 JT,JP3047550003,318421
25201010,Pioneer Corp,#N/A,JP3780200006,1848
20102010,Maeda Kosen,7821 JT,JP3861250003,64293
20102010,AGC Inc,5201 JT,JP3112000009,1297
20304010,East Japan Railway Co,9020 JT,JP3783600004,9071
35202010,Eisai Co,4523 JT,JP3160400002,910
45301020,Shinko Electric Industries Co,6967 JT,JP3375800004,5358
50201020,Nippon Television Holdings Inc,9404 JT,JP3732200005,1785
45301010,Advantest Corp,6857 JT,JP3122400009,1044
15102010,Sumitomo Osaka Cement Co,5232 JT,JP3400900001,1722
15101010,Nippon Chemical Industrial Co,4092 JT,JP3691600005,2162
25203030,Seiren Co,3569 JT,JP3413800008,847
55101010,Kansai Electric Power Co Inc,9503 JT,JP3228600007,2092
25503010,Marui Group Co Ltd,8252 JT,JP3870400003,923
50202010,Shochiku Co,9601 JT,JP3362800009,1120
25101010,Keihin Corp,7251 JT,JP3277230003,7803
20303010,Nippon Yusen KK,9101 JT,JP3753000003,1701
25202010,Mars Group Holdings Corp,6419 JT,JP3860220007,17950
25504040,Sanrio Co,8136 JT,JP3343200006,1037
45301020,Shindengen Electric Mfg,6844 JT,JP3377800002,1950
25201040,Fujitsu General,6755 JT,JP3818400008,1399
30101030,Valor Holdings Co,9956 JT,JP3778400006,13045
50202010,Toei Co,9605 JT,JP3560000006,899
45203015,Nihon Dempa Kogyo,6779 JT,JP3737800007,5346
20106020,Ebara Corp,6361 JT,JP3166000004,1229
35102015,Nichii Gakkan Co,9792 JT,JP3660900006,24321
35101020,Hogy Medical Co,3593 JT,JP3840800001,8242
20107010,Mitsui & Co,8031 JT,JP3893600001,1328
25502020,Zozo Inc,3092 JT,JP3399310006,56239
25102010,Toyota Motor Corp,7203 JT,JP3633400001,1484
20104010,Nippon Carbon Co,5302 JT,JP3690400001,1342
20304010,Nishi-Nippon Railroad Co,9031 JT,JP3658800002,1781
45202030,Ricoh Co,7752 JT,JP3973400009,935
15105020,Mitsubishi Paper Mills Ltd,3864 JT,JP3901200000,1832
35102010,Medipal Holdings Co,7459 JT,JP3268950007,21068
20304020,Nippon Express Co,9062 JT,JP3729400006,1699
20106020,Nihon Trim Co Ltd,6788 JT,JP3739700007,33389
15104050,Kyoei Steel Ltd,5440 JT,JP3247400009,44813
25202010,Globeride Inc,7990 JT,JP3503800009,1307
25201010,Sharp Corp,6753 JT,JP3359600008,1268
20106020,Glory,6457 JT,JP3274400005,1992
25101010,Showa Corp,7274 JT,JP3360300002,942
20106020,Nissei Plastic Ind,6293 JT,JP3679000004,9823
15104020,Mitsui Mining & Smelting Co,5706 JT,JP3888400003,2161
50203010,Gree Inc,3632 JT,JP3274070006,208055
30101010,Medical System Network Co,4350 JT,JP3920940008,37068
50202020,Nintendo Co Ltd,7974 JT,JP3756600007,65677
20104010,Fujikura,5803 JT,JP3811000003,1067
25504030,Joyful  Honda Co. Ltd,3191 JT,JP3392920009,352240
55101010,Shikoku Electric Power Co Inc,9507 JT,JP3350800003,1851
60102010,Nippon Commercial Development Co Ltd,3252 JT,JP3714200007,576777
15101020,Stella Chemifa Corp,4109 JT,JP3399720006,29591
45203015,Nippon Kodoshi Corp,3891 JT,JP3707000000,24326
25201010,Panasonic Corp,6752 JT,JP3866800000,2132
20104020,Mitsubishi Electric Corp,6503 JT,JP3902400005,2154
50201010,Septeni Holdings Co Ltd,4293 JT,JP3423300007,35704
45103010,RAKUS Co Ltd,3923 JT,JP3967170006,705042
20107010,Sumitomo Corp,8053 JT,JP3404600003,1636
60102010,Mitsui Fudosan Co,8801 JT,JP3893200000,2135
45203010,Anritsu Corp,6754 JT,JP3128800004,952
25504050,IDOM Inc,7599 JT,JP3235700006,31021
50201010,ValueCommerce,2491 JT,JP3778390009,43668
25503010,Parco Co,8251 JT,JP3781800002,845
30202010,Sakata Seed Corp,1377 JT,JP3315000004,1107
25201050,Lec Inc,7874 JT,JP3410800001,24760
20105010,Toshiba Corp,6502 JT,JP3592200004,1372
25201010,Clarion Co,6796 JT,JP3269200006,857
35101020,Menicon Co.Ltd.,7780 JT,JP3921270009,570537
20106020,Yushin Precision Equipment,6482 JT,JP3944500002,24506
40301040,MS&AD Insurance Group Holdings Inc,8725 JT,JP3890310000,2158
25202010,Heiwa Corp,6412 JT,JP3834200002,7151
20107010,Nishio Rent All,9699 JT,JP3657500009,9475
15101050,Sumitomo Bakelite Co,4203 JT,JP3409400003,1634
20103010,Sumitomo Densetsu,1949 JT,JP3407800006,2059
25504010,Right On Co Ltd,7445 JT,JP3965600004,26219
50201010,Dentsu Inc,4324 JT,JP3551520004,36275
60102010,Star Mica,3230 JT,JP3399290000,44118
25102010,Mazda Motor Corp,7261 JT,JP3868400007,1734
25502020,Oisix ra daichi Inc,3182 JT,JP3174190003,574287
20106020,Anest Iwata Corp,6381 JT,JP3122450004,2001
30202030,Nippon Flour Mills Co,2001 JT,JP3723000000,1837
45202030,NEC Corp,6701 JT,JP3733000008,1177
20106020,SMC Corp,6273 JT,JP3162600005,938
25202010,Daikoku Denki Co,6430 JT,JP3483100008,37811
30301010,ST Corp,4951 JT,JP3162800001,1187
45301020,Torex Semiconductor Ltd,6616 JT,JP3637280003,759256
20104010,Sansha Electric Manufacturing Co Ltd,6882 JT,JP3332600000,819912
25201030,Haseko Corp,1808 JT,JP3768600003,1403
20304010,Sotetsu Holdings Inc,9003 JT,JP3316400005,1548
20303010,Kawasaki Kisen Kaisha,9107 JT,JP3223800008,1518
20106020,OSG Corp,6136 JT,JP3170800001,1543
45201020,Aiphone Co,6718 JT,JP3105050003,7149
45203015,CMK Corp,6958 JT,JP3712000003,909
20106020,NSK,6471 JT,JP3720800006,1698
25503010,Matsuya Co Ltd,8237 JT,JP3869200000,866
45102010,Comture Corp,3844 JT,JP3305560009,44402
20102010,LIXIL Group Corporation,5938 JT,JP3626800001,1801
20106020,Hirata Corp,6258 JT,JP3795300007,44811
20106020,Tsugami Corp,6101 JT,JP3531800005,1485
45202030,Wacom Co Ltd,6727 JT,JP3993400005,38526
25301040,Ichibanya Co Ltd,7630 JT,JP3142150006,30134
45203010,Oki Electric Industry Co,6703 JT,JP3194000000,1705
20106020,Fuji Cor,6134 JT,JP3809200003,463217
45301020,Sanken Electric Co,6707 JT,JP3329600005,1354
15104050,Sanyo Special Steel Co,5481 JT,JP3342000001,1713
30202030,Kyokuyo Co,1301 JT,JP3257200000,865
35101020,Nagaileben Co,7447 JT,JP3647000003,17955
45203015,Kyocera Corp,6971 JT,JP3249600002,1523
20104010,Fuji Electric Co Ltd,6504 JT,JP3820000002,1397
45203010,Citizen Watch Co Ltd,7762 JT,JP3352400000,1585
35202010,Mitsubishi Tanabe Pharma Corp,4508 JT,JP3469000008,1640
40203020,Nomura Holdings Inc,8604 JT,JP3762600009,1843
20106020,Shinwa Co Ltd (7607),7607 JT,JP3384710004,29520
20106020,Kurita Water Industries,6370 JT,JP3270000007,2017
20106020,Tocalo Co Ltd,3433 JT,JP3552290003,40375
55105020,West Holdings Co,1407 JT,JP3154750008,228013
25203010,Goldwin Inc,8111 JT,JP3306600002,1993
40201020,Orix Corp,8591 JT,JP3200450009,1847
